origin,destination,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
BY,FR,null ,null ,null ,null ,null ,null,null,null,null ,null ,null ,null ,null ,null ,null ,null 
BY,HR,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0,0,0,0,0,0
BY,HU,null ,null ,null ,null,null,0,0,0,0,null ,null ,1,null ,null ,null ,null 
BY,LT,170,167,145,151,157,177,196,158,106,69,62,63,60,54,20,40
BY,LU,0,0,0,0,0,0,0,0,0,0,null ,0,0,null ,null ,null 
BY,LV,10,10,8,8,9,17,19,16,11,null ,null ,null ,8,21,20,18
BY,NL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,null,null ,null ,null ,null ,null 
BY,PL,146,128,209,251,219,294,443,470,444,247,182,275,682,555,575,666
BY,RO,null ,null ,null ,null ,null ,0,0,0,0,3,null ,null ,0,0,0,0
BY,SI,null ,null ,null ,null ,null ,null ,0,0,0,0,0,0,null ,0,null ,0
BY,SK,null ,null ,0,0,0,0,0,0,0,null ,0,1,0,1,1,1
CH,AT,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CH,BE,null,null,null,null,null,null,null,null ,7,7,10,6,9,11,1,2
CH,BG,null,null,null,22,27,26,28,24,18,10,2,1,4,null,null ,null 
CH,CZ,6,7,6,5,1,1,1,1,null ,2,2,2,0,1,5,1
CH,DE,2074,2056,2008,2231,2061,1992,1955,1909,2073,1532,1498,1551,1425,1467,1403,1441
CH,DK,9,8,12,11,10,12,12,15,15,9,6,7,5,5,0,7
CH,ES,null ,null ,0,null ,null ,null ,null ,10,15,16,18,16,19,24,25,24
CH,FR,null,null,null,null,null,null,null,null,null,null,2281,2161,2139,2103,2250,1060
CH,HR,9,7,8,8,9,10,6,8,8,8,8,9,11,11,6,9
CH,HU,null,null,null,null,null,41,41,44,39,39,41,43,32,28,32,20
CH,IT,null,null,null,null,null,null,null,null,null,null,null,null,962,1011,673,687
CH,LT,null ,null ,null ,null ,null ,null ,0,0,0,0,0,null ,0,0,null ,null 
CH,LU,7,7,5,5,5,5,11,10,10,13,null ,10,8,8,10,8
CH,MK,null ,null ,null ,null ,0,null ,null ,null ,0,null ,null ,null ,null ,null ,null ,null 
CH,NL,null,null,null,null,null,null,null,null,null,null,null,null,40,59,70,80
