origin,destination,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
LT,AT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,null,null,null,null,null,null
LT,BG,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,null ,0,null ,null ,null ,null 
LT,CZ,null ,null ,0,null ,null ,0,0,0,null ,0,0,0,0,0,null ,0
LT,DE,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,1,1,0,7
LT,DK,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0
LT,HR,null ,null ,null ,null ,null ,null ,0,null ,null ,0,0,null ,null ,null ,0,null 
LT,HU,null ,null ,null ,null ,null ,null ,0,0,0,0,0,0,null ,null ,0,0
LT,LV,0,0,null ,null ,0,1,0,0,0,0,0,0,1,2,1,1
LT,PL,1,1,0,0,null ,null ,1,3,5,6,6,7,6,5,5,10
LT,RO,null ,null ,null ,null ,null ,null ,null ,null ,null ,1,null ,null ,0,0,0,0
LT,SI,null ,null ,null ,null ,null ,null ,null ,0,0,0,0,0,0,null ,0,null 
LT,SK,null ,null ,null ,null ,null ,null ,0,0,0,0,0,0,0,0,0,0
LU,AT,null,null,null,null,null ,null ,null,null,null,null,null,null,null,null,null,null
LU,BE,null,null,null,null,null,null,null,null ,520,520,473,380,365,449,18,11
LU,BG,null,null,null,1,1,1,1,1,1,1,1,0,0,null ,null ,null 
LU,CH,10,9,9,9,9,43,44,45,39,38,34,36,null ,null ,null ,null 
LU,CZ,0,0,0,0,null ,null ,0,0,null ,0,0,0,0,0,0,0
LU,DE,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,54,50,38,41,36
LU,DK,null ,null ,null ,null ,null ,null ,null ,1,1,1,null ,1,1,1,0,0
LU,EL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,null ,null ,null 
LU,FR,null,null,null,null,null,null,null,null,null,null,1364,1354,1473,1451,1821,108
LU,HR,0,0,0,0,0,0,null ,0,0,0,0,0,0,0,0,0
LU,HU,null,null,null,null,null,0,0,0,1,0,0,0,0,0,0,0
LU,IT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0,1
LU,LT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0
LU,NL,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null 
LU,PL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LU,RO,null ,null ,null ,0,null ,0,0,0,0,4,null ,null ,0,0,0,0
LU,SI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU,SK,null ,null ,null ,null ,null ,null ,null ,0,0,null ,null ,0,0,0,0,0
LU,TR,null ,null ,null ,0,1,0,0,0,0,0,0,0,null ,null ,0,0
LV,AT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,null
LV,BG,null ,null ,null ,null ,null ,null ,0,null ,null ,null ,null ,0,null ,null ,null ,null 
LV,CZ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0
LV,HU,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0,null ,null ,null ,null ,null 
LV,LT,4,4,null ,null ,0,0,1,1,0,0,0,1,2,2,1,2
LV,PL,null ,null ,null ,null ,null ,null ,0,null ,0,0,0,0,0,0,0,0
LV,RO,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0,0,0
LV,SK,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,null ,0,0,null ,null 
MA,AT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null
MA,BG,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,null ,null 
MA,SI,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0,0
MD,AT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null
MD,BG,null ,null ,null ,null ,null ,0,0,0,0,0,0,0,0,null,null ,null 
MD,CZ,null ,null ,null ,null ,null ,null ,0,null ,null ,null ,null ,0,null ,null ,null ,0
MD,HU,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,null ,null ,null ,null ,null 
MD,PL,null ,null ,null ,null ,null ,null ,0,1,1,2,2,3,3,2,2,2
MD,RO,7,9,12,9,0,0,0,2,3,15,22,38,43,55,36,57
MD,SK,null ,null ,null ,null ,null ,null ,null ,0,null ,null ,0,0,null ,0,0,0
MD,TR,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0
ME,BE,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,null 
ME,BG,null ,null,null,0,0,0,0,0,null ,null ,0,0,null ,null,null ,null 
ME,CZ,0,0,0,null ,1,1,null ,null ,null ,null ,null ,null ,null ,1,null ,0
ME,EL,null,null,null,null,null,null,null,null,null,null,null,null,null,4,5,4
ME,FR,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0
ME,HR,0,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0,null ,65,84,80
ME,HU,null,null,null,null,null,1,1,1,1,1,0,0,null ,null ,42,34
ME,MK,null ,null ,null ,null ,0,null ,null ,null ,null ,0,0,null ,null ,1,0,0
ME,IT,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,0
ME,LT,null,null,null,null,null,null,null,null,null,null,null,null,null,1,1,1
ME,PL,null ,null ,null ,null ,null ,null ,null ,0,null ,null ,null ,null ,null ,6,7,6
ME,RO,null ,null ,null ,null ,0,0,null ,null ,null ,null ,null ,null ,0,20,24,25
ME,SI,0,0,0,0,0,null ,0,0,null ,null ,0,null ,null ,1,1,1
ME,SK,null ,0,0,0,0,0,0,0,0,null ,0,0,0,1,1,1
ME,TR,null ,null ,null ,0,0,null ,0,0,null ,null ,null ,null ,null ,null ,null ,null 
MK,AT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,null,null,null,null,null,null
MK,BG,null,null,null,0,0,0,0,0,0,0,0,0,0,null,null ,null 
MK,CZ,0,0,0,0,0,0,null ,null ,null ,null ,null ,null ,0,0,null ,0
MK,DE,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,1,0,0,0,0
MK,EL,1,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,5,11,12,13
MK,HR,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,2
MK,HU,null,null,null,null,null,0,0,0,0,1,1,1,null ,null ,null ,null 
MK,PL,null ,null ,0,null ,null ,null ,0,0,0,0,0,0,0,0,0,0
MK,RO,null ,null ,null ,null ,0,0,0,0,0,null ,null ,null ,0,0,0,0
MK,SI,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
MK,SK,null ,null ,0,0,0,0,0,0,0,null ,0,0,0,0,0,0
MK,TR,null ,null ,null ,0,0,0,0,0,0,0,0,0,0,0,null ,0
MT,RO,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0,0,0
MZ,TR,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,null 
NL,AT,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
NL,BE,null,null,null,null,null,null,null,null ,375,375,452,466,416,415,63,61
NL,BG,null,null,null,335,8,6,8,10,12,9,18,10,2,null,null ,null 
NL,CH,27,25,24,24,25,44,45,46,40,39,35,36,null ,null ,null ,null 
NL,CZ,3,2,2,1,1,1,0,0,null ,2,1,1,0,2,4,0
NL,DE,1234,1180,991,1037,1148,971,827,898,1154,760,678,721,584,566,598,613
NL,DK,11,10,14,13,12,14,13,18,15,13,9,9,5,5,6,7
NL,FR,null,null,null,null,null,null,null,null,null,null,794,547,540,576,646,166
NL,HR,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
NL,HU,null,null,null,null,null,3,3,4,6,5,6,7,5,6,5,4
NL,IT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,null,null,1,0,3,5
NL,LT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0
NL,LU,8,7,6,5,6,6,14,13,15,14,null ,19,18,17,18,19
NL,MK,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,null ,null ,null ,null ,null ,null 
NL,PL,0,0,0,0,0,1,1,1,2,3,3,4,4,9,7,8
NL,RO,0,0,0,0,0,0,0,0,0,4,null ,null ,0,0,0,0
NL,SI,0,0,0,0,0,10,10,0,2,0,0,0,0,1,1,1
NL,SK,0,0,0,0,0,0,0,0,0,null ,0,0,0,2,1,1
NL,TR,null ,null ,null ,1,6,3,3,5,6,7,8,8,7,null ,2,2
NL,UK,131,56,9,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null 
NO,AT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,null,null,null,null,null,null
NO,BG,null,null,null,6,7,7,8,8,9,12,11,13,6,null,null ,null 
NO,CZ,null ,0,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0
NO,DE,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,1,0,0,0,0
NO,DK,1,1,1,1,1,1,1,3,1,null ,null ,null ,null ,null ,0,7
NO,EL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,null ,null ,null 
NO,FR,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,0,0,null ,0,null ,0
NO,HR,null ,null ,null ,null ,0,0,0,0,0,0,0,0,0,0,0,0
NO,HU,null,null,null,null,null,2,2,3,3,5,4,5,3,3,3,2
NO,LT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,null ,null 
NO,PL,null ,null ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,RO,null ,null ,null ,0,null ,null ,null ,0,0,6,null ,null ,0,0,0,0
NO,SE,223,214,277,273,250,241,247,230,237,215,234,254,184,135,120,160
NO,SI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,SK,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,1,2,2
NO,TR,null ,null ,null ,0,4,4,3,4,5,5,5,6,3,2,2,0
PL,AT,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
PL,BE,null ,null ,null ,null ,null ,null ,null,null ,0,0,0,0,0,0,2,0
PL,BG,null,null,null,0,1,1,1,1,1,1,2,2,2,null,null ,null 
PL,CZ,104,91,73,67,56,42,59,62,null ,67,56,55,47,60,6,16
PL,DE,197,216,200,244,263,280,274,248,290,256,178,261,263,361,212,206
PL,DK,null ,null ,null ,null ,null ,null ,null ,2,2,1,1,1,1,1,0,0
PL,EL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0
PL,FR,null ,null ,null ,null ,null ,null ,null,null,null,null,0,0,0,0,0,0
PL,HR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL,HU,null,null,null,null,null,17,18,14,15,15,14,22,17,19,24,18
PL,IT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,3,0,8,1
PL,LT,3,1,2,2,null ,null ,2,3,4,4,5,7,6,5,5,10
PL,LU,0,0,0,0,0,0,0,0,0,0,null ,0,0,null ,0,0
PL,MK,null ,null ,null ,null ,0,null ,null ,null ,null ,0,0,null ,null ,null ,null ,null 
PL,NL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,null,null,null ,null ,null ,null 
PL,RO,0,0,0,0,0,0,0,0,0,1,1,5,3,3,3,2
PL,SI,0,1,0,1,1,1,1,1,1,1,1,2,1,1,2,2
PL,SK,9,9,10,9,10,9,9,9,11,6,16,27,29,28,26,30
PL,TR,null ,null ,null ,0,0,0,0,1,1,1,1,1,1,0,0,0
PT,AT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,null,null,null,null,null,null
PT,BG,null,null,null,3,4,7,1,4,7,0,5,3,0,null,null ,null 
PT,CZ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0
PT,DE,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0,0,1,null 
PT,ES,88,88,96,107,62,98,69,54,62,60,29,75,76,86,89,90
PT,FR,null ,null ,null ,null ,null ,null,null,null,null,null,6,6,6,7,8,9
PT,HR,null ,null ,null ,null ,null ,null ,null ,null ,0,null ,0,null ,null ,null ,0,0
PT,HU,null,null,null,null,null,2,0,1,1,1,2,2,2,3,3,1
PT,IT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,null 
PT,PL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0,0,0,0
PT,RO,null ,null ,null ,null ,null ,null ,null ,null ,null ,3,2,1,4,1,2,1
PT,SI,null ,null ,null ,null ,0,0,0,0,0,0,0,0,0,0,0,0
PT,SK,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,1,1,0
PT,TR,null ,null ,null ,0,2,4,2,2,3,3,1,3,2,null ,1,1
RO,AT,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
RO,BE,null ,null ,null ,null ,null ,null ,null,null ,0,0,0,0,0,0,0,null 
RO,BG,null,null,null,8,8,10,9,9,14,10,17,24,13,null,null ,null 
RO,CZ,1,1,2,2,3,2,3,4,null ,2,3,4,4,4,1,1
RO,DE,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,7,4,3,11,8
RO,DK,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0
RO,EL,0,1,1,0,null ,null ,null ,null ,null ,0,0,0,1,2,2,2
RO,FR,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,0,0,0,0,0,0
RO,HR,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
RO,HU,null,null,null,null,null,93,102,101,109,98,103,126,141,191,173,143
RO,IT,null ,null ,null ,null ,null ,null ,null ,null ,null,null,null,null,4,3,2,3
RO,LT,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0,null ,null ,null,null ,null 
RO,LU,0,0,0,0,0,0,0,0,null ,0,null ,null ,0,null ,0,null 
RO,MK,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0,null ,null ,null ,null ,null 
RO,NL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,null,null ,null ,null ,null ,null 
RO,PL,0,0,0,0,0,1,1,1,1,1,1,3,5,2,5,2
RO,SI,1,1,1,1,0,1,1,0,0,4,7,4,1,4,1,4
RO,SK,1,1,1,1,2,2,2,2,2,1,2,2,2,2,3,3
RO,TR,0,0,0,1,1,2,2,2,3,5,6,10,9,7,7,3
RS,AT,null ,null,null ,null,null ,null ,null,null,null,null ,null ,null ,null ,null ,null ,null 
RS,BE,null ,null ,null ,null ,null ,null ,null ,null ,0,0,0,0,0,null ,null ,null 
RS,BG,null,null,null,5,6,6,7,8,12,10,10,13,14,null ,null ,null 
RS,CZ,0,0,0,null ,null ,null ,null ,null ,null ,null ,null ,null ,1,null ,null ,null 
RS,EL,1,5,5,4,10,9,null ,null ,null ,null ,null ,null ,2,null ,null ,null 
RS,FR,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,null ,null ,null ,null ,null ,null 
RS,HR,12,13,16,17,19,17,21,37,38,41,48,56,59,null ,null ,null 
RS,HU,null,null,null,null,null,58,34,61,60,52,42,42,46,null ,null ,null 
RS,IT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,2,null ,null ,null 
RS,LU,null ,null ,null ,null ,null ,null ,null ,0,null ,null ,null ,null ,null ,null ,null ,null 
RS,MK,0,1,1,1,2,0,0,1,4,4,5,null ,null ,null ,null ,null 
RS,NL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,null ,null ,null ,null ,null ,null 
RS,PL,0,0,0,0,0,0,0,0,0,0,0,1,1,null ,null ,null 
RS,RO,0,0,11,11,10,8,6,6,5,11,6,8,9,null ,null ,null 
RS,SI,6,7,7,9,9,7,8,19,20,23,22,17,18,null ,null ,null 
RS,SK,0,0,0,1,1,2,2,2,2,null ,1,1,1,null ,null ,null 
RS,TR,null ,null ,null ,0,1,1,1,1,1,4,3,3,2,null ,null ,null 
RU,AT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,null,null,null,null,null,null
RU,BE,null ,null ,null ,null ,null ,null ,null,null ,0,0,0,0,0,0,0,0
RU,BG,null ,null ,null,6,0,3,34,22,17,17,15,7,10,null,null ,null 
RU,CZ,0,0,1,0,null ,0,null ,null ,null ,null ,null ,null ,22,26,null ,2
RU,DE,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,8,4,4,6,15
RU,DK,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0
RU,EE,55,53,53,51,28,49,61,49,42,50,49,79,75,69,72,58
RU,EL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0,0,0
RU,FI,325,277,276,226,214,258,302,250,222,173,170,216,200,168,133,125
RU,FR,null ,null ,null ,null ,null ,null,null,null,null,null,0,null ,null ,null ,null ,null 
RU,HR,null ,null ,null ,null ,null ,0,0,0,0,1,1,0,1,0,0,0
RU,HU,null ,null ,null,null,null,1,9,12,13,11,11,10,9,7,4,3
RU,LT,35,13,15,16,23,54,88,92,95,90,83,123,139,134,141,113
RU,LU,0,0,0,0,0,0,0,null ,0,0,null ,0,null ,null ,null ,null 
RU,LV,66,67,69,66,75,103,129,127,127,138,121,150,152,157,149,138
RU,NL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,null,null ,null ,null ,null ,null 
RU,PL,0,0,0,1,0,0,50,97,84,87,89,133,151,194,102,106
RU,RO,null ,null ,null ,0,0,1,2,2,2,11,15,17,12,9,7,9
RU,SI,null ,null ,null ,null ,null ,0,null ,null ,0,0,0,0,0,0,0,0
RU,SK,null ,null ,0,0,0,0,2,3,6,null ,0,7,1,6,3,2
RU,TR,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,null ,null 
SE,AT,null,null ,null ,null ,null ,null ,null ,null ,null ,null,null,null,null,null,null,null
SE,BE,null ,null,null ,null ,null ,null ,null ,null ,0,0,0,0,0,0,null ,null 
SE,BG,null,null,null,13,13,31,32,33,37,29,23,42,21,null,null ,null 
SE,CZ,0,0,null ,null ,null ,0,null ,null ,null ,null ,null ,null ,null ,null ,null ,0
SE,DE,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,23,48,10,11,18,14
SE,DK,6600,6163,5749,5723,6001,5732,5768,5543,5275,5394,5613,5457,4797,3959,4367,2909
SE,EL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,null ,null ,null 
SE,FR,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0
SE,HR,0,null ,0,1,0,0,0,0,1,0,0,0,0,0,0,0
SE,HU,null,null,null,null,null,10,10,13,11,12,14,12,10,5,5,3
SE,IT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0
SE,LT,null ,null ,null ,null ,null ,null ,0,0,0,0,0,null ,0,null,0,0
SE,LU,0,0,0,0,0,0,0,0,null ,0,null ,null ,0,null ,null ,null 
SE,NL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,null,null ,null ,null ,null ,null 
SE,NO,248,221,292,268,250,238,245,238,222,253,null ,110,74,142,135,null 
SE,PL,0,1,0,1,1,1,1,1,1,1,1,2,1,1,1,2
SE,RO,0,null ,null ,null ,0,0,0,0,0,15,null ,null ,0,0,0,0
SE,SI,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE,SK,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,3,3,3
SE,TR,null ,null ,null ,0,10,15,11,15,18,null ,18,22,11,3,2,3
SH,LT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0
SI,AT,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
SI,BE,null ,null ,null ,null ,null ,null ,null,null ,0,0,0,0,0,0,0,null 
SI,BG,null,null,null,0,1,1,1,2,2,1,1,2,1,null,null ,null 
SI,CZ,1,1,1,3,5,5,7,6,null ,5,3,3,1,1,3,1
SI,DE,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,13,8,null ,null ,18
SI,DK,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0
SI,EL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0,0,0
SI,FR,null ,null ,null ,null ,null ,null ,null ,null ,null,null,0,null ,0,0,0,0
SI,HR,69,74,65,56,54,62,70,73,74,78,86,89,88,86,87,91
SI,HU,null,null,null,null,null,8,6,8,15,19,11,14,80,12,12,14
SI,IT,null ,null ,null ,null ,null ,null ,null ,null ,null,null,null,null,27,29,13,9
SI,LT,null ,null ,null ,null ,null ,null ,0,0,0,0,0,null ,0,null,0,0
SI,LU,0,0,0,0,0,null ,0,0,0,0,null ,0,0,null ,0,0
SI,MK,0,0,null ,null ,0,null ,null ,0,0,0,0,null ,null ,null ,null ,null 
SI,NL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,null,null ,null ,null ,null ,null 
SI,PL,0,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1
SI,RO,0,0,0,0,0,0,0,0,0,1,6,5,3,2,2,2
SI,SK,0,1,1,1,1,1,1,1,2,0,2,2,3,3,3,1
SI,TR,null ,null ,null ,0,0,0,0,1,1,1,1,0,0,0,0,0
SK,AT,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
SK,BE,null,null,null ,null ,null ,null ,null,null ,0,0,0,null ,null ,0,null ,0
SK,BG,null,null,null,1,1,3,2,1,1,1,1,1,2,null,null ,null 
SK,CZ,1771,1763,1424,1182,1109,878,905,773,null ,623,483,680,549,642,333,101
SK,DE,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,8,4,9,6,2
SK,DK,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0
SK,EL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0,0
SK,FR,null ,null ,null ,null ,null ,null ,null,null ,null ,null,0,null ,0,0,0,0
SK,HR,0,0,1,0,1,1,1,1,1,1,2,2,2,1,1,1
SK,HU,null,null,null,null,null,169,157,135,125,121,114,111,41,108,101,84
SK,IT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0,0,0
SK,LT,null ,null ,null ,null ,null ,null ,0,0,0,0,0,null ,0,0,0,0
SK,LU,0,0,0,0,0,null ,0,0,null ,0,null ,0,0,null ,null ,null 
SK,MK,null ,null ,null ,null ,0,null ,null ,null ,0,0,0,null ,null ,null ,null ,null 
SK,NL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,null ,null ,null ,null ,null ,null 
SK,PL,11,10,10,8,9,9,14,14,17,20,23,29,31,30,27,34
SK,RO,1,1,1,1,2,2,2,2,1,2,3,4,0,3,4,2
SK,SI,1,1,2,2,2,2,2,2,2,2,3,2,3,4,4,3
SK,TR,null ,null ,null ,0,0,0,0,0,0,0,0,0,0,0,0,0
SR,HU,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,41,null ,null 
TR,AT,null ,null ,null ,null ,null,null,null ,null ,null ,null,null,null,null,null,null,null
TR,BG,null,null,null,8,12,8,13,9,8,9,7,13,9,null,null ,null 
TR,CZ,null ,null ,0,null ,null ,null ,0,null ,null ,0,null ,null ,null ,0,null ,0
TR,DE,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,1,0,0,0
TR,DK,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0
TR,EL,null ,null ,null ,null ,null ,null ,null ,0,1,2,2,0,5,10,4,1
TR,FR,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,null ,null ,0
TR,HR,null ,null ,null ,null ,null ,null ,0,0,null ,0,null ,null ,null ,0,0,0
TR,HU,null,null ,null ,null,null,4,3,2,2,1,0,1,null ,null ,null ,0
TR,PL,null ,null ,null ,null ,null ,null ,null ,null ,0,0,0,0,0,0,0,0
TR,RO,2,1,0,0,0,1,0,1,1,3,3,6,2,1,3,1
TR,SI,null ,null ,null ,null ,0,null ,null ,0,null ,0,null ,null ,null ,null ,null ,0
TR,SK,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0,null ,0,0,0
UA,AT,null,null,null,null,null,null,null ,null ,null ,null,null,null,null,null,null,null
UA,BE,null ,null ,null ,null ,null ,null ,null ,null ,0,0,0,0,0,0,0,null 
UA,BG,null,null,null,null ,0,3,4,5,4,5,4,4,4,null,null ,null 
UA,CZ,0,0,0,0,0,0,null ,null ,null ,null ,null ,null ,2,5,null ,1
UA,DE,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,6,1,2,0,6
UA,DK,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0
UA,HR,null ,null ,null ,null ,null ,0,0,0,0,0,0,0,0,0,0,1
UA,HU,null,null,null,null,null,45,52,54,39,43,37,44,null ,null ,null ,41
UA,IT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0
UA,LT,8,1,null ,null ,null ,null ,null ,null ,3,3,4,8,10,5,9,6
UA,LU,0,0,0,0,0,null ,0,null ,0,0,null ,0,null ,null ,null ,null 
UA,LV,6,1,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,3,6,6,6
UA,MK,null ,null ,null ,null ,0,null ,0,null ,0,0,0,null ,null ,null ,null ,null 
UA,NL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,null ,null ,null ,null ,null ,null 
UA,PL,550,555,298,30,22,24,48,69,80,90,90,115,178,192,178,97
UA,RO,1,1,1,0,0,0,0,0,0,4,6,2,2,2,3,2
UA,SI,null ,null ,null ,null ,null ,null ,null ,0,0,0,0,0,0,0,0,null 
UA,SK,14,7,6,5,6,4,5,5,5,null ,1,12,5,11,11,12
UK,AT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,null,null,null,null,null,null
UK,BE,null,null,null,null,null,null,null,null ,1411,1411,1379,1280,1145,867,814,196
UK,BG,null,null,null,13,null ,null ,null ,null ,null ,null ,null ,null ,0,null ,null ,null 
UK,CH,14,12,12,12,12,32,33,34,29,29,26,27,null ,null ,null ,null 
UK,CZ,null ,0,0,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0
UK,DE,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,11,10,3,2,1
UK,DK,null ,null ,null ,null ,null ,null ,null ,2,null ,null ,null ,null ,null ,null ,null ,null 
UK,EL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0
UK,ES,null ,null ,0,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null 
UK,FR,null,null,null,null,null,null,null,null,null,null,7432,7054,8026,7672,7716,1253
UK,HR,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0,0
UK,HU,null,null,null,null,null,2,1,0,1,null ,1,1,1,1,1,3
UK,IE,0,0,null ,null ,0,307,313,381,396,344,297,397,502,505,444,409
