origin,destination,2020
AT,null,null
BE,null,null
BG,null,12786
CH,null,262110
CZ,null,103975
DE,null,1395036
DK,null,101945
EE,null,4451
EL,null,8448
ES,null,244088
FI,null,44357
FR,null,528690
HR,null,9602
HU,null,78789
IE,null,13746
IT,null,319454
LT,null,2581
LU,null,10215
LV,null,10215
ME,null,374
MK,null,189
NL,null,286320
NO,null,33160
PL,null,159693
PT,null,39523
RO,null,37562
SE,null,125641
SI,null,6282
SK,null,39604
TR,null,76205
UK,null,575322
